time_period,station_name,operator_name,scheduled_stops,recorded_station_stops,recorded_stops_pct,time_to_3_pct,cancellations_pct
Apr 2023 to Mar 2024 Period 01,Aberdeen,Caledonian Sleeper,22,22,100.0,,
Apr 2023 to Mar 2024 Period 01,Aberdeen,CrossCountry,74,64,100.0,90.625,13.513513513513514
Apr 2023 to Mar 2024 Period 01,Aberdeen,London North Eastern Railway,212,211,100.0,83.88625592417061,0.4716981132075472
Apr 2023 to Mar 2024 Period 01,Aberdeen,ScotRail,3685,3603,100.0,87.84346378018319,2.225237449118046
Apr 2023 to Mar 2024 Period 01,Aberdour,ScotRail,1759,1714,99.94169096209912,89.7899649941657,2.501421262080728
Apr 2023 to Mar 2024 Period 01,Achanalt,ScotRail,208,0,0.0,,0.4807692307692308
Apr 2023 to Mar 2024 Period 01,Achnasheen,ScotRail,208,207,100.0,86.47342995169082,0.4807692307692308
Apr 2023 to Mar 2024 Period 01,Achnashellach,ScotRail,208,0,0.0,,0.4807692307692308
Apr 2023 to Mar 2024 Period 01,Addiewell,ScotRail,1023,1012,100.0,88.83399209486166,1.0752688172043012
Apr 2023 to Mar 2024 Period 01,Airbles,ScotRail,1961,1937,99.79392065945387,96.90242643262778,1.0198878123406423
Apr 2023 to Mar 2024 Period 01,Airdrie,ScotRail,4072,3963,100.0,86.14685844057533,2.676817288801572
Apr 2023 to Mar 2024 Period 01,Alexandra Parade,ScotRail,1738,1661,99.93983152827916,96.92956050571944,4.372842347525892
Apr 2023 to Mar 2024 Period 01,Alexandria,ScotRail,1898,0,0.0,,3.635405690200211
Apr 2023 to Mar 2024 Period 01,Alloa,ScotRail,1729,1693,100.0,96.39692852923804,2.0821283979178715
Apr 2023 to Mar 2024 Period 01,Alness,ScotRail,411,1,0.2512562814070351,,3.1630170316301705
Apr 2023 to Mar 2024 Period 01,Anderston,ScotRail,5360,5289,100.0,92.22915484968804,1.3246268656716418
Apr 2023 to Mar 2024 Period 01,Annan,ScotRail,829,636,77.5609756097561,95.125786163522,1.0856453558504222
Apr 2023 to Mar 2024 Period 01,Anniesland,ScotRail,7400,7173,99.98606077502092,93.0712393698592,3.054054054054054
Apr 2023 to Mar 2024 Period 01,Arbroath,Caledonian Sleeper,22,21,95.45454545454544,,
Apr 2023 to Mar 2024 Period 01,Arbroath,CrossCountry,37,32,100.0,,
Apr 2023 to Mar 2024 Period 01,Arbroath,London North Eastern Railway,212,211,100.0,69.66824644549763,0.4716981132075472
Apr 2023 to Mar 2024 Period 01,Arbroath,ScotRail,2400,2365,99.95773457311918,70.44397463002115,1.4166666666666663
